학생이름,학생학년,기피학생1,기피학생1학년,기피학생2,기피학생2학년
표서하,3,윤예은,2,현다인,1
탁건우,2,하지호,3,,
허예린,2,설하율,1,,
하하준,3,유시원,1,,
기성준,3,표현우,1,,
편예준,3,도지후,2,,
심하율,1,안예진,2,,
윤서현,2,길서현,3,현지우,3
신유준,1,변승혁,3,노재현,2
천재훈,1,하하준,3,,
표현석,2,모서진,2,,
허우성,3,권시후,1,송준혁,3
육예솔,2,방지안,3,,
도우성,1,방태준,2,,
전민재,1,강시후,3,치시우,3
전다빈,3,최예원,2,,
정현우,1,인우빈,3,허준서,3
서우진,3,홍성민,1,,
치우성,2,하서진,1,신준호,1
손재훈,1,표우진,1,,
송성훈,3,노재현,2,,
탁서영,2,신유진,1,양지원,3
송하은,3,장예린,2,최서율,3
맹성훈,3,하우주,2,,
오민찬,3,범건우,1,한현우,1
김준영,2,정현우,1,,
최다인,2,백하은,2,현예원,3
길도경,2,하서진,1,권태준,2
편지우,2,구채율,1,,
허준서,3,차민규,3,,
적재석,1,표우진,1,,
치하린,2,정다빈,1,사서영,3
함소율,2,차수아,2,,
오예은,3,류다은,1,임지율,1
도지우,2,방지안,3,,
제승우,1,한서진,2,,
반유진,1,류윤서,2,봉예나,1
백지안,3,오서하,2,고채은,3
도지후,2,서건호,1,,
남서연,3,곽서윤,2,송서아,3
진시우,3,옹지호,2,,
곽하은,1,배채율,3,,
윤태양,1,천민준,3,,
편서윤,2,반서윤,1,현지우,3
손성진,3,엄성민,3,,
백재훈,1,적태민,2,백도윤,3
설민준,2,윤재민,3,진민재,3
황다빈,1,도윤서,1,사서영,3
함시윤,3,하우진,3,,
정지연,3,송다빈,3,,
강시후,3,황승혁,1,정재영,1
양지연,2,제다빈,2,,
손동현,1,양우진,3,곽우진,1
하재훈,3,함시윤,3,신준수,1
원재민,2,도지후,2,인우빈,3
치민찬,3,방우성,1,,
인민서,1,봉예나,1,,
신준호,1,조현우,1,편준영,3
장서현,2,표지율,1,,
서예솔,3,조다인,1,,
원다빈,3,편지우,2,심하율,1
허서율,1,구하율,1,표유진,2
이서율,1,음서윤,3,정다인,2
안다은,1,엄예린,2,명예솔,1
장서준,3,백도윤,3,한재현,1
신준수,1,노준혁,3,,
맹서연,3,전서아,3,정지원,2
표다빈,3,안다은,1,,
류윤서,2,류예은,3,,
최재민,3,장시원,1,심유준,2
임지율,1,류서아,3,,
서재석,3,장민재,2,,
옹준서,3,심유준,2,,
현성훈,3,조준호,2,,
류현우,2,적준형,2,하지호,3
방지안,3,적서아,1,맹서연,3
오수빈,3,류윤서,2,손다인,3
조성진,1,윤성민,1,홍우성,3
길재현,1,설우성,2,,
함지훈,2,허우성,3,곽우진,1
백지환,2,치준희,1,,
파예린,3,오서윤,1,원다은,2
변승혁,3,방민석,3,남시후,2
적태민,2,문성준,2,,
명하율,3,안서연,1,,
황우진,2,반우성,2,원재민,2
황우빈,2,음도경,3,,
설우성,2,표현우,1,제승우,1
봉서연,3,차수아,2,,
차수아,2,남서연,3,,
황태양,3,하하준,3,,
전서하,1,반유진,1,손서율,3
권시후,1,치준희,1,,
엄서영,2,도윤서,1,,
구재현,1,남동욱,1,,
엄우주,3,사건우,2,진민재,3
구민재,2,길시영,2,이우주,3
오건호,3,치준희,1,설태호,3
함지환,3,육시윤,1,윤민준,3
설지훈,3,안재민,2,,
치준형,2,윤우빈,1,노재윤,1
하서윤,3,박하영,2,,
임다은,3,조다인,1,오하은,2
변준수,3,안우진,1,,
성서아,1,허서연,3,,
조서영,3,정지연,3,음지율,3
적지아,1,치지원,3,,
고시영,3,전지후,2,,
손동욱,3,오건호,3,윤민준,3
고서영,2,한예린,2,서하린,3
구채율,1,현서윤,3,,
음서윤,3,전유나,1,박지아,2
치지우,2,최서율,3,백예린,2
한수빈,3,오하율,2,전예원,1
변지호,2,탁지훈,1,이태민,2
설다빈,3,오하은,2,정다빈,1
조성준,2,범건우,1,,
명민석,2,모지환,2,한서진,2
곽지율,1,옹서아,1,탁서영,2
홍예나,2,천하율,1,원다은,2
황민석,2,설태호,3,,
탁태민,1,손재훈,1,백성민,2
권채원,1,구채율,1,,
송예린,1,함민서,2,,
오서영,2,최서율,3,,
송우진,1,육시윤,1,심성민,1
파재민,1,안민찬,2,,
황다율,2,치지우,2,천채은,2
